time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-15T11:32:04.730Z,10.8833,122.1769,49.4,5.4,mb,,107,5.064,0.83,us,us10006dwi,2016-08-15T17:47:39.844Z,"10km ENE of San Remigio, Philippines",earthquake,8,6.5,0.039,218,reviewed,us,us
2016-08-15T11:12:14.840Z,36.4153,-97.3686,1.52,3.2,mb_lg,,32,0.188,0.48,us,us10006dwf,2016-08-15T11:28:15.502Z,"15km NNW of Perry, Oklahoma",earthquake,1.3,7.6,0.054,88,reviewed,us,us
2016-08-15T11:09:38.700Z,33.3745,-116.3785,8.08,0.46,ml,17,112,0.1108,0.17,ci,ci37446495,2016-08-15T14:04:45.524Z,"13km N of Borrego Springs, CA",earthquake,0.44,1.84,0.146,9,reviewed,ci,ci
2016-08-15T11:01:05.724Z,39.4039,-119.7796,6.2,0.5,ml,17,90.28,0.018,0.1622,nn,nn00556311,2016-08-15T17:36:52.392Z,"14km SSE of Reno, Nevada",earthquake,,1,0.15,9,reviewed,nn,nn
2016-08-15T10:56:53.733Z,39.4014,-119.7769,6.3,0.7,ml,21,83.84,0.015,0.1329,nn,nn00556275,2016-08-15T15:44:02.825Z,"14km SSE of Reno, Nevada",earthquake,,0.9,0.27,10,reviewed,nn,nn
2016-08-15T10:53:09.494Z,39.4069,-120.1316,6.8,1.2,ml,28,70.59,0.097,0.1532,nn,nn00556274,2016-08-15T17:14:33.477Z,"9km NNE of Truckee, California",earthquake,,1.3,0.32,11,reviewed,nn,nn
2016-08-15T10:40:27.100Z,34.1183333,-116.9231667,6.22,1.64,ml,63,51,0.02688,0.19,ci,ci37446487,2016-08-15T14:05:17.770Z,"14km S of Big Bear Lake, CA",earthquake,0.2,0.47,0.153,27,reviewed,ci,ci
2016-08-15T10:24:24.000Z,59.355,-153.4347,40,1,ml,,,,1.08,ak,ak13845297,2016-08-15T10:33:44.034Z,"94km ESE of Old Iliamna, Alaska",earthquake,13.2,3.9,,,automatic,ak,ak
2016-08-15T10:22:47.990Z,35.9316667,-117.6568333,5.04,1,mh,3,166,0.01702,0.04,ci,ci37144636,2016-08-15T18:25:56.948Z,"22km E of Little Lake, CA",earthquake,0.63,31.61,,0,reviewed,ci,ci
2016-08-15T10:22:30.590Z,37.2223333,-117.6076667,5.42,1.29,ml,8,153,0.03229,0.22,ci,ci37446479,2016-08-15T16:55:04.613Z,"61km E of Big Pine, CA",earthquake,1.38,0.84,0.281,3,reviewed,ci,ci
2016-08-15T10:16:59.180Z,33.5,-116.5098333,15.33,0.27,ml,21,118,0.07736,0.11,ci,ci37446471,2016-08-15T18:43:55.852Z,"16km ESE of Anza, CA",earthquake,0.24,0.44,0.204,12,reviewed,ci,ci
2016-08-15T10:12:29.900Z,38.8035011,-122.7921677,-0.81,0.97,md,9,121,0.005089,0.18,nc,nc72677601,2016-08-15T10:14:02.440Z,"4km NW of The Geysers, California",earthquake,0.92,1.28,0.2,4,automatic,nc,nc
2016-08-15T09:47:24.300Z,38.3365,-115.9372,3.2,1.3,ml,7,181.71,1.104,,nn,nn00556271,2016-08-15T09:49:08.860Z,"41km ENE of Warm Springs, Nevada",earthquake,,,,,automatic,nn,nn
2016-08-15T09:28:53.031Z,36.5696,-113.4847,9.5,1.3,ml,9,209.53,0.483,0.1329,nn,nn00556270,2016-08-15T16:42:28.744Z,"53km SE of Littlefield, Arizona",earthquake,,2.5,0.32,5,reviewed,nn,nn
